,Position,Fa13.BD.MLB.SN.sorted.MAG8-A,Fa13.BD.MLB.SN.sorted.MAG8-C,Fa13.BD.MLB.SN.sorted.MAG8-G,Fa13.BD.MLB.SN.sorted.MAG8-T,Fa13.BD.MLB.DN.sorted.MAG8-A,Fa13.BD.MLB.DN.sorted.MAG8-C,Fa13.BD.MLB.DN.sorted.MAG8-G,Fa13.BD.MLB.DN.sorted.MAG8-T,Sp13.BD.MLB.SN.sorted.MAG8-A,Sp13.BD.MLB.SN.sorted.MAG8-C,Sp13.BD.MLB.SN.sorted.MAG8-G,Sp13.BD.MLB.SN.sorted.MAG8-T,Su13.BD.MM110.DCMD.sorted.MAG8-A,Su13.BD.MM110.DCMD.sorted.MAG8-C,Su13.BD.MM110.DCMD.sorted.MAG8-G,Su13.BD.MM110.DCMD.sorted.MAG8-T,Sp13.BD.MM110.SN.sorted.MAG8-A,Sp13.BD.MM110.SN.sorted.MAG8-C,Sp13.BD.MM110.SN.sorted.MAG8-G,Sp13.BD.MM110.SN.sorted.MAG8-T,Su13.BD.MLB.SD.C.sorted.MAG8-A,Su13.BD.MLB.SD.C.sorted.MAG8-C,Su13.BD.MLB.SD.C.sorted.MAG8-G,Su13.BD.MLB.SD.C.sorted.MAG8-T,Sp13.BD.MM15.SN.sorted.MAG8-A,Sp13.BD.MM15.SN.sorted.MAG8-C,Sp13.BD.MM15.SN.sorted.MAG8-G,Sp13.BD.MM15.SN.sorted.MAG8-T,Su13.BD.MLB.DD.sorted.MAG8-A,Su13.BD.MLB.DD.sorted.MAG8-C,Su13.BD.MLB.DD.sorted.MAG8-G,Su13.BD.MLB.DD.sorted.MAG8-T,Su13.BD.MM110.SN.C.sorted.MAG8-A,Su13.BD.MM110.SN.C.sorted.MAG8-C,Su13.BD.MM110.SN.C.sorted.MAG8-G,Su13.BD.MM110.SN.C.sorted.MAG8-T,Su13.BD.MM15.SN.C.sorted.MAG8-A,Su13.BD.MM15.SN.C.sorted.MAG8-C,Su13.BD.MM15.SN.C.sorted.MAG8-G,Su13.BD.MM15.SN.C.sorted.MAG8-T,Sp13.BD.MM15.SD.sorted.MAG8-A,Sp13.BD.MM15.SD.sorted.MAG8-C,Sp13.BD.MM15.SD.sorted.MAG8-G,Sp13.BD.MM15.SD.sorted.MAG8-T,Su13.BD.MM110.DN.sorted.MAG8-A,Su13.BD.MM110.DN.sorted.MAG8-C,Su13.BD.MM110.DN.sorted.MAG8-G,Su13.BD.MM110.DN.sorted.MAG8-T,Su13.BD.MM110.SD.sorted.MAG8-A,Su13.BD.MM110.SD.sorted.MAG8-C,Su13.BD.MM110.SD.sorted.MAG8-G,Su13.BD.MM110.SD.sorted.MAG8-T,Sp13.BD.MM110.SD.sorted.MAG8-A,Sp13.BD.MM110.SD.sorted.MAG8-C,Sp13.BD.MM110.SD.sorted.MAG8-G,Sp13.BD.MM110.SD.sorted.MAG8-T,Fa13.BD.MM15.DN.sorted.MAG8-A,Fa13.BD.MM15.DN.sorted.MAG8-C,Fa13.BD.MM15.DN.sorted.MAG8-G,Fa13.BD.MM15.DN.sorted.MAG8-T,Fa13.BD.MM15.SN.sorted.MAG8-A,Fa13.BD.MM15.SN.sorted.MAG8-C,Fa13.BD.MM15.SN.sorted.MAG8-G,Fa13.BD.MM15.SN.sorted.MAG8-T,Fa13.BD.MM110.DN.sorted.MAG8-A,Fa13.BD.MM110.DN.sorted.MAG8-C,Fa13.BD.MM110.DN.sorted.MAG8-G,Fa13.BD.MM110.DN.sorted.MAG8-T,Sp13.BD.MM15.DD.A.sorted.MAG8-A,Sp13.BD.MM15.DD.A.sorted.MAG8-C,Sp13.BD.MM15.DD.A.sorted.MAG8-G,Sp13.BD.MM15.DD.A.sorted.MAG8-T,Su13.BD.MM15.SD.sorted.MAG8-A,Su13.BD.MM15.SD.sorted.MAG8-C,Su13.BD.MM15.SD.sorted.MAG8-G,Su13.BD.MM15.SD.sorted.MAG8-T,Fa13.BD.MM110.SN.sorted.MAG8-A,Fa13.BD.MM110.SN.sorted.MAG8-C,Fa13.BD.MM110.SN.sorted.MAG8-G,Fa13.BD.MM110.SN.sorted.MAG8-T,Sp13.BD.MM110.DD.sorted.MAG8-A,Sp13.BD.MM110.DD.sorted.MAG8-C,Sp13.BD.MM110.DD.sorted.MAG8-G,Sp13.BD.MM110.DD.sorted.MAG8-T,Fa13.BD.MM15.SD.sorted.MAG8-A,Fa13.BD.MM15.SD.sorted.MAG8-C,Fa13.BD.MM15.SD.sorted.MAG8-G,Fa13.BD.MM15.SD.sorted.MAG8-T,Fa13.BD.MM110.SD.sorted.MAG8-A,Fa13.BD.MM110.SD.sorted.MAG8-C,Fa13.BD.MM110.SD.sorted.MAG8-G,Fa13.BD.MM110.SD.sorted.MAG8-T,Su13.BD.MM15.DN.sorted.MAG8-A,Su13.BD.MM15.DN.sorted.MAG8-C,Su13.BD.MM15.DN.sorted.MAG8-G,Su13.BD.MM15.DN.sorted.MAG8-T
contig_20881_1,1065,1,225,0,24,1,107,0,8,0,77,0,0,0,32,0,0,0,286,4,1,3,141,2,43,1,136,0,1,1,90,0,5,0,172,0,1,0,350,0,22,1,179,2,3,0,2,2,0,0,191,0,3,1,510,3,8,0,216,0,2,0,232,0,0,0,126,38,0,0,142,0,1,1,173,2,5,0,268,0,0,2,390,0,0,0,238,0,2,0,278,0,0,0,228,5,1
contig_20881_1,1071,2,18,6,216,1,6,1,101,0,6,0,71,0,3,0,50,0,52,0,242,10,22,6,155,2,15,4,115,2,11,6,80,0,3,0,186,7,10,0,375,1,16,2,165,0,0,0,4,0,0,0,240,0,98,0,416,0,2,0,225,0,6,0,225,0,18,0,151,0,15,1,130,0,8,1,190,1,1,0,267,1,63,0,332,0,0,0,253,0,0,0,283,1,14,0,301
contig_20881_1,1072,0,71,0,174,0,36,0,73,0,8,0,68,0,0,0,53,0,15,0,284,0,42,1,149,0,25,0,111,0,31,0,66,0,0,0,190,0,6,0,384,0,21,0,163,0,2,0,2,0,0,0,242,0,19,0,497,0,4,0,223,0,2,0,230,0,39,0,130,0,23,0,123,0,4,0,194,0,0,0,269,0,22,0,380,0,2,0,251,0,0,0,283,0,11,0,302
contig_20881_1,1074,0,0,247,0,0,0,108,0,1,0,74,0,0,0,55,0,7,0,292,0,1,1,186,0,2,0,132,0,0,0,97,0,0,0,188,0,7,0,381,0,0,0,185,0,0,0,4,0,3,0,242,0,15,0,499,0,3,0,227,0,0,0,234,0,3,0,169,0,3,0,142,0,7,0,191,0,1,0,271,0,6,0,390,0,3,0,254,0,0,0,282,0,2,0,312,0
contig_20881_1,1077,1,246,0,4,0,106,0,1,9,65,0,4,0,48,2,4,0,245,2,53,2,177,3,4,4,114,2,14,1,94,0,3,0,183,1,4,5,359,2,13,10,152,5,18,0,4,0,0,0,239,1,3,1,408,10,93,1,220,0,1,1,225,2,7,0,142,7,18,6,124,0,12,2,182,0,9,0,268,0,0,2,319,7,69,0,255,0,1,0,281,0,1,0,291,1,17
contig_20881_1,1080,0,253,0,0,0,114,1,0,0,77,0,3,0,57,0,0,0,301,0,2,2,187,0,1,0,135,0,3,0,99,0,0,0,190,0,2,0,373,0,8,0,187,0,0,0,4,0,0,0,243,0,8,0,509,0,0,0,224,0,6,0,237,0,1,0,173,0,0,0,142,0,0,0,201,0,2,0,269,0,0,0,400,0,0,0,264,0,1,0,283,0,3,0,314,0,2
contig_20881_1,1086,0,254,0,7,0,117,0,0,0,83,0,1,0,36,0,0,0,302,0,2,0,191,0,4,0,133,0,1,0,97,0,0,0,176,0,0,0,368,0,2,0,191,0,0,0,4,0,0,0,188,0,1,1,504,0,3,0,219,0,0,0,241,0,1,0,169,0,3,0,139,0,3,0,184,0,0,0,266,0,0,0,397,0,7,0,253,0,0,0,273,0,1,0,227,0,0
contig_20881_1,1089,264,0,2,0,116,0,1,0,85,0,2,0,36,0,0,0,303,0,0,0,189,0,1,0,135,0,2,0,97,0,0,0,180,0,0,0,371,0,2,0,190,0,2,0,4,0,0,0,186,0,0,0,508,0,1,0,221,0,0,0,232,0,2,0,170,0,1,0,139,0,1,0,182,0,2,0,260,0,0,0,402,0,3,0,243,0,4,0,266,1,4,0,226,0,0,0
contig_20881_1,1092,221,40,0,1,101,14,0,2,75,13,0,0,35,1,0,0,306,2,0,0,156,28,1,2,119,14,2,0,80,15,0,0,177,1,0,0,364,12,0,0,181,6,0,0,5,0,0,0,184,1,0,0,507,7,0,0,222,0,0,0,234,0,0,0,164,4,0,0,133,7,0,0,166,10,0,0,254,0,0,0,394,10,0,0,245,1,0,0,273,0,1,0,216,1,0,0
contig_20881_1,1095,0,250,0,22,0,107,0,16,0,67,0,22,0,34,0,1,0,290,0,17,0,167,0,16,0,124,0,10,0,89,0,7,0,169,0,5,1,344,0,33,0,172,0,12,0,6,0,0,0,174,0,19,0,476,0,33,0,226,0,5,0,236,0,9,0,173,0,6,0,118,0,18,0,158,0,28,0,256,0,8,1,380,0,28,0,254,0,3,0,279,0,3,0,203,0,19
contig_20881_1,1098,194,1,48,32,95,0,19,11,80,0,5,2,35,0,0,0,302,0,2,1,102,2,64,20,122,0,6,9,71,0,13,10,176,0,0,1,343,1,33,0,174,2,5,1,7,0,0,0,195,0,3,0,502,0,0,2,228,0,5,1,246,0,1,0,182,0,0,2,126,1,8,3,179,0,5,3,262,0,0,0,408,0,2,2,257,0,3,0,288,1,0,0,225,0,1,0
contig_20881_1,1101,276,0,0,0,124,0,1,0,84,0,4,0,29,0,5,0,240,2,60,0,188,0,0,0,121,0,17,0,92,0,0,0,174,0,3,0,363,0,7,0,163,0,17,0,5,0,3,0,204,0,1,0,407,0,93,0,244,0,1,0,243,0,9,0,175,0,10,0,117,0,19,0,194,0,3,0,263,0,1,0,341,0,69,0,266,0,0,0,295,0,1,0,217,0,15,0
contig_20881_1,1104,0,158,0,118,0,77,0,43,0,15,0,75,0,2,0,31,0,93,3,201,0,74,0,112,0,54,2,85,0,40,0,49,0,35,0,143,0,95,0,267,0,74,0,101,0,2,3,4,0,27,0,172,1,166,4,327,0,44,1,198,0,37,0,215,0,22,48,114,0,49,0,85,0,49,0,138,0,31,0,235,0,146,0,262,0,33,0,236,0,27,0,266,0,49,1,161
contig_20881_1,1107,41,2,239,0,14,0,106,0,13,2,76,2,23,0,10,0,138,2,161,0,16,0,168,0,40,0,98,2,6,0,85,0,172,0,10,0,248,0,115,1,61,0,114,0,3,0,6,0,173,0,22,0,234,0,264,0,201,0,35,4,212,1,34,0,98,0,84,1,42,2,87,5,122,0,61,0,244,0,12,0,175,0,236,3,237,0,27,0,273,1,13,0,153,0,61,0
contig_20881_1,1116,0,243,1,43,0,108,0,15,2,86,0,2,0,31,0,1,0,297,0,3,0,128,2,54,1,133,0,9,1,79,1,11,0,179,0,1,1,346,0,25,1,170,0,9,0,7,0,0,0,202,0,3,0,476,0,18,4,231,0,6,0,249,0,2,0,178,0,6,1,121,0,5,0,177,0,4,0,241,0,0,0,393,0,11,0,259,0,3,0,274,0,0,0,215,0,2
contig_20881_1,1117,0,13,0,271,0,4,0,120,0,4,0,86,0,0,0,32,0,1,0,301,0,16,0,171,0,4,0,138,0,6,0,86,0,0,0,180,0,0,0,371,0,1,0,175,0,0,0,7,0,0,0,205,0,1,0,493,0,0,0,242,0,0,0,249,0,2,0,185,0,2,0,125,0,2,0,178,0,0,0,236,0,4,0,399,0,0,0,263,0,0,0,263,0,0,2,218
contig_20881_1,1122,4,211,16,46,5,99,6,12,4,78,6,3,0,32,0,0,6,299,0,0,10,116,5,52,3,134,1,7,3,76,2,12,5,174,0,1,7,333,3,26,1,168,1,6,0,7,0,0,4,203,0,2,10,483,3,1,4,238,0,1,4,237,0,1,3,181,0,2,2,119,2,2,8,165,1,6,3,225,0,0,3,400,0,2,0,249,1,3,2,254,0,0,8,204,0,2
contig_20881_1,1123,1,0,276,0,1,0,121,0,3,0,88,0,4,0,28,0,65,0,234,9,0,0,181,2,15,0,129,3,0,0,91,0,3,0,171,5,6,0,359,2,16,0,158,1,3,0,2,2,0,1,199,4,91,0,393,14,0,0,236,5,5,0,230,4,7,0,125,51,18,0,105,2,1,0,169,4,0,0,218,3,76,0,328,4,0,0,251,0,0,0,251,2,15,0,190,9
contig_20881_1,1125,25,34,1,216,7,14,1,101,2,3,2,85,0,0,0,31,0,0,0,306,11,47,1,124,6,0,2,145,3,12,1,76,1,5,0,172,4,36,2,326,6,0,1,167,0,0,0,7,0,7,0,197,1,0,3,490,0,9,0,235,1,12,0,228,0,0,2,180,3,2,2,118,2,18,1,155,0,8,0,215,2,0,4,402,0,15,0,239,0,11,0,243,0,5,1,208
contig_20881_1,1128,25,52,16,186,5,24,12,85,1,19,24,48,0,0,0,32,2,1,15,289,42,33,18,89,7,12,7,128,10,13,9,60,5,1,6,166,36,10,42,288,1,11,9,151,0,0,0,8,8,0,24,173,0,5,19,469,5,0,9,233,13,0,8,227,0,2,4,178,4,7,11,102,19,10,24,120,8,2,9,211,0,8,12,394,11,1,15,230,11,0,9,236,5,1,10,198
contig_20881_1,1137,260,0,26,0,124,0,8,0,94,0,2,0,34,0,0,0,303,0,0,0,146,0,41,0,151,0,4,0,83,0,6,0,180,0,0,0,364,0,16,0,174,0,3,0,8,0,0,0,206,0,1,0,492,0,1,0,247,0,1,0,247,1,1,0,179,0,0,0,122,0,1,0,182,0,3,0,233,0,0,0,411,0,0,0,253,0,2,0,266,0,0,0,219,0,1,0
contig_20881_1,1138,0,268,0,15,0,122,0,12,0,86,0,10,0,29,0,5,0,235,0,67,0,174,0,12,0,129,0,26,0,85,0,4,0,176,0,4,0,370,0,10,0,144,0,32,0,6,0,3,0,207,0,0,0,392,0,102,0,245,0,4,0,249,0,5,0,171,0,7,0,99,0,22,0,181,0,6,0,240,0,0,0,327,0,85,0,255,0,1,0,265,0,0,0,204,0,18
contig_20881_1,1140,0,180,91,7,0,87,45,2,0,15,77,4,0,3,29,0,0,89,214,0,1,70,112,3,0,48,104,1,3,40,43,2,0,0,181,0,2,22,354,3,0,65,110,0,0,2,7,0,0,0,212,0,0,136,346,1,0,24,245,0,0,10,248,0,0,21,162,1,0,38,78,1,0,13,176,2,0,2,255,0,0,140,268,0,0,9,254,0,0,1,279,0,0,35,201,0
contig_20881_1,1143,172,1,2,101,91,0,0,43,7,1,6,81,3,0,0,29,86,0,0,213,65,2,17,102,46,1,2,104,38,0,8,43,0,0,0,181,23,1,7,343,64,2,1,110,2,0,0,7,0,0,0,208,132,0,0,347,23,0,0,239,13,0,0,246,19,0,2,161,34,0,1,86,11,0,4,174,0,0,0,251,136,0,0,277,10,2,0,246,1,0,0,277,38,0,0,202
contig_20881_1,1146,13,263,0,1,3,125,0,0,3,89,0,1,0,31,0,0,3,299,1,2,4,177,0,7,3,147,0,3,5,80,0,5,6,182,0,0,19,350,0,7,2,172,0,1,1,8,0,0,6,189,0,3,3,478,0,4,5,246,0,2,14,240,0,0,51,126,0,0,2,119,0,0,17,168,0,1,7,238,0,0,0,404,0,4,10,243,0,0,17,256,0,0,6,221,0,4
contig_20881_1,1149,0,258,0,15,0,119,0,4,0,83,0,7,0,33,0,0,0,304,0,1,0,175,0,11,2,145,1,4,0,87,0,5,0,189,0,0,0,371,0,2,0,175,0,1,0,9,0,0,0,180,0,0,2,482,0,2,0,233,0,0,0,236,0,0,2,159,0,1,2,120,0,1,0,163,0,3,2,236,0,0,0,397,0,2,0,233,0,0,0,246,0,0,0,216,0,0
contig_20881_1,1152,78,0,199,0,33,0,89,0,3,0,89,0,3,0,32,0,57,0,252,0,11,0,174,0,26,0,125,0,9,0,85,0,0,0,190,0,14,0,356,0,38,0,137,0,0,0,9,0,2,0,183,0,101,1,384,0,17,0,216,0,7,0,228,0,16,0,150,0,18,0,103,0,6,0,165,0,0,0,236,0,93,0,305,0,5,0,236,0,0,0,251,1,22,0,197,0
contig_20881_1,1155,0,276,0,0,0,122,0,0,0,92,0,0,0,34,0,0,0,304,0,4,1,179,0,0,0,153,0,1,0,94,0,0,0,184,0,7,0,371,0,2,1,171,0,0,0,9,0,0,0,181,0,3,2,484,0,6,0,227,0,6,1,226,0,5,0,162,0,5,0,121,0,1,0,168,0,4,0,236,0,3,3,392,0,2,0,242,0,0,0,250,0,2,0,215,0,7
contig_20881_1,1158,233,0,44,0,110,0,13,0,76,0,17,0,11,0,25,0,161,0,147,0,115,0,65,0,105,0,51,0,76,0,20,0,12,0,178,0,74,0,301,0,111,0,57,0,6,0,4,0,9,0,177,0,267,0,224,0,34,0,203,0,25,0,209,0,76,0,94,0,86,0,36,0,38,0,138,0,4,0,242,0,226,0,170,0,15,0,229,0,3,0,252,0,67,0,165,0
contig_20881_1,1165,0,0,0,272,0,1,0,129,2,16,0,74,0,0,0,36,0,0,0,300,2,15,0,161,1,12,0,143,0,8,0,86,0,0,0,187,1,1,0,370,1,4,0,162,0,0,0,13,0,0,0,203,0,0,0,486,0,0,0,251,0,0,0,238,0,0,0,166,2,8,0,112,0,1,0,183,2,0,0,258,0,0,0,387,0,0,0,246,0,0,0,271,0,0,0,249
contig_20881_1,1170,0,256,4,10,0,122,2,12,0,61,0,29,0,34,0,0,0,290,0,6,0,159,3,13,1,131,1,19,0,85,0,7,0,187,0,4,0,341,1,27,0,151,0,19,0,12,0,1,0,204,0,7,0,464,1,11,0,269,0,8,0,232,0,6,0,177,0,1,0,106,0,14,0,182,1,13,0,278,0,2,0,366,0,17,0,250,0,4,0,283,0,1,0,264,3,6
contig_20881_1,1173,0,35,0,234,0,21,0,123,0,16,0,71,0,0,0,33,0,0,1,290,0,65,0,105,0,10,0,142,0,23,0,67,0,9,0,184,0,56,0,302,0,12,0,160,0,0,0,13,0,5,0,211,0,2,0,466,0,5,0,284,0,15,0,217,0,0,0,183,0,14,1,106,0,28,0,177,0,9,0,276,0,0,0,376,0,8,0,255,0,14,0,259,0,8,1,271
contig_20881_1,1176,23,244,0,1,21,120,0,2,10,72,0,4,0,32,0,0,0,268,0,19,26,136,1,6,7,137,2,6,12,72,1,3,1,164,0,29,14,301,1,37,9,153,1,6,0,13,0,1,0,191,0,22,1,457,0,13,0,254,0,26,1,184,0,38,0,166,0,7,11,113,0,3,8,172,1,22,1,238,0,36,2,355,0,14,2,225,0,34,0,228,0,38,1,253,0,27
contig_20881_1,1179,19,0,240,0,15,0,122,0,24,1,61,0,0,0,31,0,0,0,278,2,63,5,100,0,15,1,134,1,25,0,64,1,8,0,186,0,40,0,314,0,11,1,159,0,0,0,14,0,5,0,205,0,1,0,468,0,2,0,273,0,12,0,213,0,0,0,170,2,12,0,110,2,15,0,186,0,6,0,267,0,0,0,375,0,8,0,244,0,10,0,255,0,5,0,275,1
contig_20881_1,1182,0,12,238,7,0,4,133,3,0,1,83,0,0,0,30,0,0,2,274,0,0,21,141,2,3,0,145,3,2,7,76,4,0,0,193,1,1,7,354,2,0,0,172,0,0,0,14,0,0,0,211,0,0,0,477,0,0,0,283,0,0,0,235,0,0,0,178,0,0,1,118,4,0,0,203,3,0,0,271,0,0,0,374,0,0,0,256,0,0,0,271,0,0,1,284,0
contig_20881_1,1185,0,38,12,209,0,28,11,104,0,26,14,43,0,0,0,30,0,1,2,273,0,71,8,83,0,20,8,117,0,30,5,53,0,9,1,188,0,54,8,297,0,17,6,148,0,0,0,14,0,4,0,208,0,1,8,472,0,3,0,277,0,13,4,217,0,0,0,175,0,21,5,96,0,20,4,178,0,7,1,261,0,2,11,363,1,9,1,244,0,10,0,265,0,5,7,277
contig_20881_1,1188,0,210,0,54,0,117,1,34,4,51,8,22,0,25,0,5,0,210,0,66,1,80,12,72,2,105,7,30,1,51,5,30,0,171,7,17,0,286,14,64,3,130,4,34,0,11,0,3,0,203,3,17,0,377,0,103,0,270,2,14,0,201,10,18,0,153,0,19,1,75,9,37,0,163,9,34,0,258,4,12,2,288,0,87,0,249,8,6,0,267,8,14,0,259,4,33
contig_20881_1,1191,0,75,1,193,0,41,0,105,0,40,0,44,0,2,0,27,0,20,0,255,0,118,0,48,0,35,0,109,0,51,0,35,0,20,0,179,0,66,0,303,0,32,0,140,0,4,0,10,0,20,0,200,0,29,0,453,0,14,0,261,0,21,0,196,0,39,0,126,0,28,0,90,0,38,0,164,0,11,0,256,0,13,0,366,0,9,0,252,0,17,0,258,0,19,0,274
contig_20881_1,1194,0,273,0,1,0,148,0,0,0,84,0,2,0,28,0,0,0,270,0,0,0,174,0,4,0,141,0,2,0,83,0,2,0,200,0,1,0,365,0,6,0,173,0,2,0,14,0,0,0,220,0,2,0,479,0,0,0,276,0,1,0,224,0,0,0,167,0,0,0,115,1,3,0,206,0,0,0,266,0,0,0,375,1,1,0,262,0,0,0,275,0,0,0,296,0,0
contig_20881_1,1197,1,0,273,0,2,0,136,0,1,0,83,0,2,0,25,0,13,0,256,0,0,0,187,0,1,0,144,0,0,0,81,0,18,0,180,0,29,0,345,0,3,0,166,0,0,0,14,0,14,0,198,0,11,1,459,0,17,0,244,0,19,0,201,0,10,0,154,0,9,0,116,0,14,0,186,0,28,0,223,0,17,0,351,0,33,0,221,0,36,0,229,0,23,0,253,0
contig_20881_1,1200,1,264,0,7,0,137,0,2,0,79,0,3,0,27,0,0,0,271,0,0,0,177,0,11,0,143,0,3,0,83,0,4,0,199,0,1,0,361,0,8,1,166,0,1,0,14,0,0,0,208,0,0,0,472,0,0,0,257,0,0,0,215,0,1,0,159,0,0,0,122,0,5,0,193,0,6,0,247,0,0,0,371,0,1,0,249,0,0,0,262,0,0,0,275,0,0
contig_20881_1,1203,0,269,0,1,0,139,0,0,0,87,0,3,0,27,0,0,1,272,0,3,0,191,0,1,0,141,0,4,0,88,0,0,0,199,0,4,1,357,0,6,0,171,0,3,0,13,0,1,0,203,0,1,0,461,0,9,0,255,0,6,0,216,0,1,0,152,0,5,0,127,0,1,0,198,0,2,0,244,0,2,2,364,0,8,0,249,0,0,0,262,0,0,0,270,0,8
contig_20881_1,1206,0,273,0,1,0,141,0,2,0,91,0,0,0,26,0,1,0,273,0,8,0,191,0,0,0,148,0,0,0,87,0,0,0,197,0,5,0,359,0,6,0,173,0,2,0,14,0,0,0,201,0,4,0,461,0,9,0,258,0,6,0,207,0,5,0,152,0,7,0,126,0,3,0,200,0,8,0,243,0,7,0,365,0,10,0,234,0,10,0,247,0,16,0,264,0,12
contig_20881_1,1209,0,25,0,249,0,16,0,125,0,10,0,81,0,0,0,27,0,0,0,278,0,28,0,162,0,6,0,145,0,11,0,80,0,11,0,192,0,45,0,319,0,15,0,162,0,0,0,14,0,5,0,198,0,2,0,467,0,5,0,259,0,14,0,201,0,0,0,159,0,11,0,113,0,21,0,194,0,7,0,250,0,1,0,373,0,10,0,233,0,12,0,254,0,4,0,273
contig_20881_1,1212,1,0,270,1,1,0,148,0,0,0,95,0,0,0,27,0,7,0,270,0,0,0,194,0,0,0,151,1,0,0,91,0,7,0,194,0,3,0,359,0,0,0,173,0,0,0,14,0,7,0,197,0,4,0,455,0,10,0,252,0,7,0,209,0,4,0,157,0,2,0,124,0,2,0,215,0,2,0,250,0,2,0,370,0,0,0,238,0,4,0,264,0,7,0,274,0
contig_20881_1,1215,0,269,0,1,0,146,0,0,0,96,0,0,0,27,0,0,0,270,0,2,0,193,0,0,0,151,0,1,0,90,0,2,0,204,0,0,0,361,0,3,0,170,0,1,0,14,0,0,0,200,0,1,0,458,0,0,0,258,0,2,0,210,0,0,0,157,0,0,0,121,0,0,0,213,0,0,0,235,2,6,1,371,0,0,0,228,0,2,0,261,0,2,0,281,0,0
contig_20881_1,1218,0,211,1,55,0,115,0,27,0,72,0,18,0,27,0,0,0,273,0,0,0,101,0,91,0,136,0,13,0,61,0,30,2,189,0,14,3,285,0,74,0,154,0,16,0,14,0,0,2,185,0,8,1,449,0,9,0,249,0,10,2,192,0,15,0,157,0,2,0,108,0,14,0,184,0,32,0,229,0,9,0,362,0,6,1,219,0,9,0,254,0,12,0,272,0,6
contig_20881_1,1221,1,12,35,220,1,9,20,122,2,0,11,74,0,1,0,26,1,2,0,266,0,12,80,95,7,7,12,121,2,3,23,63,10,0,11,182,24,7,64,261,5,2,15,143,0,2,0,13,27,0,5,172,2,9,3,440,7,6,5,256,11,2,11,193,3,36,0,133,2,6,9,105,33,4,24,159,16,0,4,229,0,7,1,356,13,1,8,215,16,2,12,244,4,3,5,293
contig_20881_1,1224,2,92,14,159,0,69,2,82,4,71,6,6,0,20,0,5,2,207,0,63,0,133,6,48,1,104,2,37,0,57,5,31,0,203,0,0,0,331,2,17,4,103,1,52,0,12,0,4,0,202,0,1,2,321,2,128,0,247,2,24,0,206,0,11,0,153,0,22,1,94,0,25,0,202,2,18,0,246,0,0,1,247,3,112,0,229,1,10,0,277,0,1,0,255,0,55
contig_20881_1,1226,246,0,16,0,142,0,9,0,64,0,20,0,25,0,0,0,267,0,7,0,178,0,8,0,139,0,4,0,88,0,5,0,203,0,1,0,348,0,6,0,154,0,4,0,16,0,0,0,202,0,0,0,445,0,5,0,271,0,1,0,213,0,4,0,173,0,0,0,110,0,10,0,214,0,8,0,242,0,2,0,353,0,6,0,235,0,4,0,275,0,1,0,301,0,7,0
contig_20881_1,1227,250,0,9,0,148,0,3,0,57,0,25,0,25,0,0,0,268,1,5,0,166,0,18,0,120,0,21,0,79,0,16,0,203,0,0,0,342,0,12,0,136,0,21,0,16,0,0,0,201,0,1,0,441,0,7,0,270,0,1,0,216,0,1,0,173,0,0,0,102,0,16,0,217,0,4,0,240,0,4,0,347,0,10,0,239,0,0,0,274,0,1,0,296,0,7,0
contig_20881_1,1230,9,2,237,1,15,0,125,0,6,4,70,0,15,0,8,0,127,1,143,0,10,3,163,2,29,2,108,0,3,4,85,0,140,0,63,0,162,8,173,3,49,0,109,0,7,0,9,0,107,0,78,0,199,0,247,0,157,0,91,1,134,0,68,1,86,0,79,0,30,1,84,0,79,3,125,1,171,2,60,0,145,0,212,0,157,0,62,0,211,1,55,0,160,0,118,0
contig_20881_1,1231,0,0,250,0,0,0,140,0,3,0,79,0,0,0,23,0,17,0,253,0,2,0,176,0,4,0,134,0,0,0,93,0,0,0,204,0,4,0,340,0,0,0,162,0,0,0,16,0,0,0,186,0,11,0,434,0,1,0,253,0,0,0,207,0,1,0,169,0,5,0,112,0,0,0,210,0,2,0,235,0,10,0,343,0,0,0,225,0,2,0,271,0,1,0,284,0
contig_20881_1,1233,0,162,41,42,0,85,30,17,0,26,8,47,0,23,0,0,0,257,0,14,0,59,81,35,0,107,4,29,0,40,28,24,0,193,10,1,0,257,71,15,0,128,15,20,0,16,0,0,0,178,5,1,0,430,1,15,0,252,4,4,1,194,12,4,0,171,0,0,0,84,10,22,0,170,26,13,0,236,3,5,1,333,0,20,0,217,7,4,2,272,12,0,0,262,5,17
contig_20881_1,1236,0,230,1,16,0,126,0,6,0,63,2,17,0,23,0,0,0,271,0,4,0,165,3,8,0,133,2,5,0,94,0,2,0,206,0,0,0,337,1,7,0,161,0,3,0,16,0,0,0,179,1,2,0,447,0,3,0,261,1,0,0,219,0,3,0,180,0,0,0,110,1,7,0,207,0,6,0,237,3,3,0,350,0,4,0,231,0,2,0,296,1,0,0,279,0,8
contig_20881_1,1239,0,11,0,235,0,4,0,128,0,5,0,84,0,0,0,24,0,0,1,273,0,7,0,175,0,0,0,138,0,6,0,96,0,0,0,208,0,3,0,345,0,1,0,162,0,0,0,16,0,0,0,181,0,3,0,444,0,2,0,259,0,0,0,219,0,0,0,177,0,0,0,119,0,2,0,210,0,0,0,243,0,3,1,345,0,0,0,231,0,0,0,297,0,0,0,280
