,Position,Fa13.BD.MLB.SN.MAG4-A,Fa13.BD.MLB.SN.MAG4-C,Fa13.BD.MLB.SN.MAG4-G,Fa13.BD.MLB.SN.MAG4-T,Su13.BD.MLB.DD.MAG4-A,Su13.BD.MLB.DD.MAG4-C,Su13.BD.MLB.DD.MAG4-G,Su13.BD.MLB.DD.MAG4-T,Su13.BD.MM15.SN.C.MAG4-A,Su13.BD.MM15.SN.C.MAG4-C,Su13.BD.MM15.SN.C.MAG4-G,Su13.BD.MM15.SN.C.MAG4-T,Sp13.BD.MM110.DD.MAG4-A,Sp13.BD.MM110.DD.MAG4-C,Sp13.BD.MM110.DD.MAG4-G,Sp13.BD.MM110.DD.MAG4-T,Fa13.BD.MM15.SD.MAG4-A,Fa13.BD.MM15.SD.MAG4-C,Fa13.BD.MM15.SD.MAG4-G,Fa13.BD.MM15.SD.MAG4-T,Su13.BD.MM110.DN.MAG4-A,Su13.BD.MM110.DN.MAG4-C,Su13.BD.MM110.DN.MAG4-G,Su13.BD.MM110.DN.MAG4-T,Fa13.BD.MM15.SN.MAG4-A,Fa13.BD.MM15.SN.MAG4-C,Fa13.BD.MM15.SN.MAG4-G,Fa13.BD.MM15.SN.MAG4-T,Su13.BD.MLB.SD.C.MAG4-A,Su13.BD.MLB.SD.C.MAG4-C,Su13.BD.MLB.SD.C.MAG4-G,Su13.BD.MLB.SD.C.MAG4-T,Fa13.BD.MM110.SD.MAG4-A,Fa13.BD.MM110.SD.MAG4-C,Fa13.BD.MM110.SD.MAG4-G,Fa13.BD.MM110.SD.MAG4-T,Sp13.BD.MM110.SN.MAG4-A,Sp13.BD.MM110.SN.MAG4-C,Sp13.BD.MM110.SN.MAG4-G,Sp13.BD.MM110.SN.MAG4-T,Su13.BD.MM110.DCMD.MAG4-A,Su13.BD.MM110.DCMD.MAG4-C,Su13.BD.MM110.DCMD.MAG4-G,Su13.BD.MM110.DCMD.MAG4-T,Su13.BD.MM15.DN.MAG4-A,Su13.BD.MM15.DN.MAG4-C,Su13.BD.MM15.DN.MAG4-G,Su13.BD.MM15.DN.MAG4-T,Fa13.BD.MM110.SN.MAG4-A,Fa13.BD.MM110.SN.MAG4-C,Fa13.BD.MM110.SN.MAG4-G,Fa13.BD.MM110.SN.MAG4-T,Sp13.BD.MM15.SN.MAG4-A,Sp13.BD.MM15.SN.MAG4-C,Sp13.BD.MM15.SN.MAG4-G,Sp13.BD.MM15.SN.MAG4-T,Fa13.BD.MM15.DN.MAG4-A,Fa13.BD.MM15.DN.MAG4-C,Fa13.BD.MM15.DN.MAG4-G,Fa13.BD.MM15.DN.MAG4-T,Sp13.BD.MM15.DD.A.MAG4-A,Sp13.BD.MM15.DD.A.MAG4-C,Sp13.BD.MM15.DD.A.MAG4-G,Sp13.BD.MM15.DD.A.MAG4-T,Sp13.BD.MM15.SD.MAG4-A,Sp13.BD.MM15.SD.MAG4-C,Sp13.BD.MM15.SD.MAG4-G,Sp13.BD.MM15.SD.MAG4-T,Su13.BD.MM110.SD.MAG4-A,Su13.BD.MM110.SD.MAG4-C,Su13.BD.MM110.SD.MAG4-G,Su13.BD.MM110.SD.MAG4-T,Fa13.BD.MM110.DN.MAG4-A,Fa13.BD.MM110.DN.MAG4-C,Fa13.BD.MM110.DN.MAG4-G,Fa13.BD.MM110.DN.MAG4-T,Sp13.BD.MLB.SN.MAG4-A,Sp13.BD.MLB.SN.MAG4-C,Sp13.BD.MLB.SN.MAG4-G,Sp13.BD.MLB.SN.MAG4-T,Su13.BD.MM15.SD.MAG4-A,Su13.BD.MM15.SD.MAG4-C,Su13.BD.MM15.SD.MAG4-G,Su13.BD.MM15.SD.MAG4-T,Su13.BD.MM110.SN.C.MAG4-A,Su13.BD.MM110.SN.C.MAG4-C,Su13.BD.MM110.SN.C.MAG4-G,Su13.BD.MM110.SN.C.MAG4-T,Sp13.BD.MM110.SD.MAG4-A,Sp13.BD.MM110.SD.MAG4-C,Sp13.BD.MM110.SD.MAG4-G,Sp13.BD.MM110.SD.MAG4-T,Fa13.BD.MLB.DN.MAG4-A,Fa13.BD.MLB.DN.MAG4-C,Fa13.BD.MLB.DN.MAG4-G,Fa13.BD.MLB.DN.MAG4-T
contig_18631_17,46,30,15,0,0,4,6,0,0,0,5,0,0,0,56,0,0,1,9,0,0,0,1,0,0,1,10,0,0,6,1,0,0,0,5,0,0,0,64,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,9,0,0,0,21,0,0,0,14,0,0,1,29,0,0,0,3,0,0,0,30,0,0,1,13,0,0,0,2,0,0,0,1,0,0,0,82,0,0,21,19,1,0
contig_18631_17,49,12,31,0,0,6,3,0,0,6,0,0,0,55,0,0,0,7,4,0,0,1,0,0,0,10,1,0,0,0,6,0,0,4,1,0,0,60,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,9,0,0,0,20,0,0,0,14,0,1,0,26,1,1,0,3,0,0,0,30,0,0,0,13,0,0,0,2,0,0,0,1,0,0,0,85,0,0,0,19,21,1,0
contig_18631_17,54,22,0,21,0,1,0,7,0,0,0,6,0,0,0,54,0,1,0,10,0,0,0,1,0,1,0,9,0,1,0,6,0,0,0,5,0,0,0,58,0,0,0,2,0,0,0,8,0,0,0,1,0,0,0,8,0,0,0,22,0,0,0,15,0,0,0,28,0,0,0,3,0,0,0,30,0,0,0,14,0,0,0,4,0,0,0,1,0,2,0,81,0,11,0,26,0
contig_18631_17,55,1,18,22,2,0,7,1,0,0,5,0,0,0,53,0,1,0,10,1,0,0,1,0,0,0,9,1,0,0,6,1,0,0,5,0,0,0,58,0,0,0,2,0,0,0,8,0,0,0,1,0,0,0,8,0,0,0,21,0,1,0,15,0,0,0,25,0,3,0,3,0,0,0,30,0,0,1,11,0,2,0,4,0,0,0,1,0,0,0,82,0,2,0,25,11,1
contig_18631_17,61,0,1,0,47,0,0,0,10,0,0,0,4,0,0,0,57,0,5,0,8,0,0,0,1,0,0,0,10,0,0,0,7,0,1,0,4,0,0,0,60,0,0,0,2,0,0,0,8,0,0,0,1,0,0,0,10,0,0,0,22,0,0,0,17,0,0,0,29,0,0,0,3,0,0,0,27,0,0,0,13,0,0,0,4,0,0,0,1,0,0,0,88,0,0,0,35
contig_18631_17,64,1,0,46,1,0,0,10,0,0,0,4,0,0,0,56,0,3,0,10,0,0,0,1,0,0,0,10,0,0,0,6,0,1,0,4,0,0,0,59,0,0,0,2,0,0,0,8,0,0,0,1,0,0,0,11,0,0,0,23,0,0,0,17,0,0,0,29,0,0,0,3,0,0,0,26,0,0,0,13,0,0,0,4,0,0,0,1,0,1,1,86,0,0,0,35,0
contig_18631_17,67,0,38,0,10,0,4,0,6,0,1,0,3,0,42,0,12,1,8,0,4,0,1,0,0,0,5,0,5,0,2,0,4,0,1,0,4,0,44,0,18,0,2,0,0,0,6,0,2,0,1,0,0,0,3,0,8,0,17,0,6,0,9,0,9,0,14,0,13,0,1,0,2,0,23,0,3,0,4,0,9,0,3,0,1,0,2,0,0,0,64,0,25,0,27,0,8
contig_18631_17,69,48,0,1,0,10,0,0,0,4,0,0,0,52,0,0,0,13,0,0,0,1,0,0,0,10,0,0,0,6,0,0,0,5,0,0,0,64,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,11,0,0,0,23,0,0,0,18,0,0,0,27,0,0,0,3,0,0,0,28,0,0,0,11,0,1,0,4,0,0,0,2,0,0,0,86,0,2,0,32,0,2,0
contig_18631_17,70,0,49,0,0,0,10,0,0,0,4,0,0,0,52,0,0,0,10,0,3,0,1,0,0,0,10,0,0,0,6,0,0,0,4,0,1,0,65,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,11,0,0,0,23,0,0,0,17,0,1,0,25,0,1,0,3,0,0,0,29,0,0,0,13,0,0,0,4,0,0,0,2,0,0,0,88,0,0,0,33,0,0
contig_18631_17,73,0,0,50,0,0,0,10,0,0,0,4,0,0,0,52,0,3,0,10,0,0,0,1,0,0,0,10,0,0,0,5,0,0,0,5,0,0,0,66,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,11,0,0,0,20,0,1,0,17,0,1,0,25,0,0,0,3,0,0,0,26,0,0,0,13,0,0,0,2,0,0,0,2,0,0,0,89,0,0,0,33,0
contig_18631_17,76,49,1,0,0,10,0,0,0,4,0,0,0,50,1,0,0,11,0,3,0,1,0,0,0,10,0,0,0,5,0,0,0,4,0,1,0,65,1,0,0,1,0,0,0,6,0,0,0,1,0,0,0,10,0,0,0,20,0,0,0,18,0,1,0,24,0,1,0,3,0,0,0,26,0,0,0,13,0,0,0,2,0,0,0,1,0,1,0,88,0,0,2,30,2,0,0
contig_18631_17,85,0,48,0,1,0,9,0,0,0,4,0,1,0,56,0,0,0,14,0,0,0,1,0,0,0,11,0,3,0,4,0,0,0,5,0,0,0,66,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,11,0,0,0,21,0,0,0,18,0,0,0,25,0,0,0,3,0,0,0,30,0,0,0,11,0,2,0,3,0,1,0,1,0,1,0,87,0,0,0,28,2,0
contig_18631_17,88,32,0,13,0,7,0,2,0,3,0,2,0,12,0,45,0,5,2,7,0,1,0,0,0,4,0,10,0,2,0,1,0,0,0,5,0,21,0,43,0,0,0,1,0,2,0,3,0,0,0,2,0,7,0,4,0,6,0,16,0,5,0,13,0,8,0,18,0,1,0,2,0,3,0,27,0,4,0,8,0,2,0,2,0,0,0,2,0,23,0,65,0,16,0,12,2
contig_18631_17,91,1,0,45,0,0,0,8,0,1,0,4,0,0,0,55,0,0,0,13,0,0,0,1,0,3,0,10,0,0,0,3,0,0,0,3,0,0,0,64,0,0,0,1,0,0,0,5,0,1,0,1,0,0,0,11,0,0,0,22,0,0,0,16,0,1,0,26,0,0,0,3,0,0,0,31,0,2,0,11,0,1,0,3,0,1,0,1,0,0,0,87,0,1,0,27,0
contig_18631_17,97,15,0,32,0,7,0,2,0,5,0,1,0,55,0,1,0,11,0,4,0,1,0,0,0,9,0,6,0,1,0,2,0,2,0,2,0,61,0,0,0,1,0,0,0,7,0,1,0,1,0,1,0,12,0,0,0,21,0,1,0,15,0,1,0,23,0,1,0,3,0,2,0,42,0,0,0,12,0,0,0,4,0,0,0,1,0,1,0,85,0,0,0,14,0,16,0
contig_18631_17,100,0,1,46,0,0,0,9,0,0,0,5,1,0,0,56,0,0,5,11,0,0,0,1,0,0,0,12,3,0,0,2,0,0,2,1,0,0,0,59,0,0,0,1,0,0,0,8,0,0,0,1,1,0,0,13,0,0,0,23,0,0,0,15,0,1,0,23,0,0,0,4,1,0,0,42,0,0,1,9,0,0,0,4,0,0,0,1,1,0,1,82,0,0,0,30,0
contig_18631_17,103,0,47,0,0,0,8,0,0,0,5,1,0,0,56,0,0,0,16,0,0,0,1,0,0,0,12,3,0,0,2,0,0,0,3,0,0,0,60,0,0,0,1,0,0,0,7,0,0,0,0,2,0,0,12,0,0,0,21,0,0,0,14,0,0,0,24,0,0,0,1,2,0,0,38,0,0,0,7,2,0,0,3,1,0,0,1,1,0,0,79,0,0,0,28,0,0
contig_18631_17,107,45,0,0,1,7,0,0,0,7,0,0,0,54,1,0,0,15,0,0,0,1,0,0,0,14,0,0,0,2,0,0,0,3,0,0,0,58,0,0,0,1,0,0,0,6,0,0,0,3,0,0,0,9,0,0,2,20,0,0,0,14,0,0,0,24,0,0,0,3,0,0,0,37,0,0,0,8,0,0,0,5,0,0,0,2,0,0,0,77,0,0,0,27,0,0,0
contig_18631_17,109,10,0,37,0,5,0,2,0,4,0,3,0,13,0,40,0,7,0,9,0,0,0,0,0,6,0,8,0,1,0,1,0,3,0,1,0,21,0,37,0,0,0,1,0,5,0,1,0,0,0,3,0,8,0,3,0,8,0,11,0,9,0,7,0,12,0,12,0,1,0,2,0,5,0,33,0,4,0,4,0,2,0,4,0,0,0,2,0,25,0,53,0,9,0,18,0
contig_18631_17,112,0,1,0,49,0,0,0,7,0,2,0,6,0,0,0,51,0,4,0,10,0,0,0,0,0,3,0,10,0,0,0,2,0,3,0,1,0,0,0,58,0,0,0,1,0,0,0,6,0,3,0,1,0,0,0,11,0,0,0,17,0,1,0,14,0,1,0,23,0,2,0,1,0,0,0,41,0,1,0,7,0,2,0,5,0,2,0,1,0,0,0,77,0,0,0,25
contig_18631_17,115,0,22,0,27,0,6,0,1,0,7,0,0,0,51,0,0,0,13,0,1,0,0,0,0,0,12,0,2,0,2,0,0,0,4,0,0,0,58,0,0,0,1,0,0,0,6,0,0,0,8,0,0,0,11,0,0,0,15,0,1,0,15,0,0,0,22,0,0,0,3,0,0,0,40,0,0,0,9,0,0,0,7,0,0,0,3,0,0,0,80,0,0,0,19,0,6
contig_18631_17,118,1,0,53,0,5,0,2,0,2,0,5,0,12,0,39,0,4,0,9,3,0,0,0,0,6,0,8,0,0,0,2,0,1,0,1,2,20,0,38,0,0,0,1,0,4,0,1,0,1,0,3,4,6,0,5,0,6,0,9,0,8,0,7,0,8,0,14,0,1,0,3,0,5,0,33,0,3,0,6,0,2,0,5,0,0,0,3,0,23,0,57,0,0,0,23,0
contig_18631_17,124,0,0,52,0,3,0,3,0,1,0,6,0,0,0,53,0,0,0,17,0,0,0,0,0,2,0,12,0,0,0,2,0,0,0,5,0,2,0,57,0,0,0,1,0,1,0,5,0,0,0,8,0,0,0,11,0,1,0,15,0,0,0,16,0,1,0,18,0,0,0,4,0,0,0,38,0,1,0,8,0,1,0,8,0,0,0,5,0,2,0,81,0,0,0,25,0
contig_18631_17,127,5,0,46,0,5,0,1,0,4,2,1,0,14,0,38,0,4,2,11,0,0,0,0,0,4,3,5,0,2,0,0,0,1,2,2,0,18,0,43,0,0,0,1,0,4,0,2,0,1,3,4,0,8,0,3,0,7,0,8,0,8,2,7,0,7,0,10,0,1,4,0,0,5,2,31,0,3,3,3,0,2,4,3,0,0,4,1,0,24,0,60,0,7,0,18,0
contig_18631_17,133,14,0,38,0,5,0,1,0,6,0,2,0,46,0,1,0,17,0,1,0,0,0,0,0,10,0,3,0,0,0,2,0,5,0,0,0,56,0,0,0,2,0,0,0,7,0,0,0,8,0,0,0,9,0,2,0,13,0,3,0,14,0,0,0,17,0,1,0,5,0,0,0,34,0,2,0,7,0,2,0,9,0,1,0,4,0,0,0,80,0,2,0,12,0,8,0
contig_18631_17,136,0,0,53,0,0,0,7,0,0,0,8,0,0,0,46,0,0,3,16,0,0,0,0,0,0,0,15,0,0,0,2,0,0,3,2,0,0,0,59,0,0,0,2,0,0,0,7,0,0,4,4,0,0,0,11,0,0,0,16,0,0,0,12,0,0,0,19,0,0,0,5,0,0,0,38,0,0,0,11,0,0,0,10,0,0,0,4,0,0,0,85,0,0,0,21,0
contig_18631_17,140,51,0,0,3,8,0,0,0,9,0,0,0,52,0,0,0,18,0,0,2,0,0,0,0,17,0,0,0,4,0,0,0,5,0,0,0,66,0,0,0,2,0,0,0,6,0,0,2,8,0,0,0,11,0,0,0,15,0,0,0,12,0,0,0,27,0,0,0,4,0,0,0,35,0,0,0,11,0,0,0,10,0,0,0,4,0,0,0,90,0,0,0,23,0,0,2
contig_18631_17,141,44,0,11,0,8,0,0,0,5,0,4,0,28,0,24,0,11,0,9,0,0,0,0,0,11,0,6,0,4,0,0,0,2,0,3,0,40,0,26,0,1,0,1,0,6,0,2,0,1,0,7,0,7,0,4,0,9,0,6,0,9,0,3,0,21,0,6,0,3,0,1,0,9,0,26,0,6,0,4,0,9,0,1,0,1,0,3,0,48,0,40,0,14,0,9,0
contig_18631_17,142,1,0,53,0,5,0,3,0,3,0,6,0,9,0,44,0,3,3,14,0,0,0,0,0,6,0,11,0,0,0,5,0,1,2,1,1,6,0,63,0,0,0,2,0,3,0,5,0,4,4,0,0,4,0,7,0,0,0,14,0,2,0,12,0,2,0,25,0,4,0,0,0,2,0,33,0,3,0,7,0,5,0,5,0,4,0,0,0,13,0,77,0,0,0,22,0
contig_18631_17,151,45,0,11,0,9,0,1,0,8,0,0,0,54,0,0,0,16,0,1,0,0,0,0,0,17,0,0,0,2,0,3,0,6,0,0,0,70,0,0,0,2,0,0,0,6,0,0,0,8,0,0,0,11,0,0,0,16,0,0,0,14,0,0,0,27,0,0,0,5,0,0,0,33,0,0,0,9,0,1,0,9,0,1,0,5,0,0,0,92,0,0,0,11,0,10,0
contig_18631_17,154,11,32,13,0,1,3,7,0,0,0,8,0,0,0,53,0,0,1,16,0,0,0,0,0,0,5,13,0,3,0,2,0,0,0,8,0,0,0,71,0,0,0,2,0,0,0,6,0,0,0,8,0,0,0,12,0,0,1,15,0,0,0,13,0,0,0,26,0,0,0,5,0,0,0,33,0,0,0,9,0,1,0,9,0,0,0,5,0,0,0,91,0,10,4,7,0
contig_18631_17,160,0,0,55,0,0,0,13,0,2,0,6,0,0,0,54,0,1,0,17,0,0,0,0,0,4,0,15,0,0,0,5,0,4,0,4,0,0,0,70,0,0,0,6,0,0,0,6,0,3,0,5,0,0,0,12,0,0,0,15,0,2,0,11,0,0,0,25,0,4,0,1,0,2,0,32,0,2,0,8,0,4,0,6,0,5,0,0,0,0,0,98,0,0,0,23,0
contig_18631_17,162,0,0,0,57,0,0,0,13,0,2,0,5,0,0,0,56,0,1,0,17,0,0,0,0,0,4,0,16,0,0,0,5,0,4,0,4,0,0,0,69,0,0,0,6,0,0,0,7,0,3,0,5,0,0,0,13,0,0,0,16,0,2,0,11,0,0,0,25,0,5,0,0,0,0,0,34,0,2,0,8,0,4,0,6,0,5,0,0,0,0,0,96,0,0,0,23
contig_18631_17,166,0,1,52,5,0,0,13,0,0,0,9,0,0,0,39,18,0,0,14,3,0,0,0,0,0,0,21,1,0,0,5,0,0,0,8,0,0,0,43,21,0,0,6,0,0,1,6,0,0,0,10,0,0,0,11,2,0,0,13,5,0,0,12,1,0,0,21,3,0,0,5,0,0,0,22,11,0,1,7,1,0,0,9,1,0,0,12,0,0,0,64,34,0,0,20,4
contig_18631_17,169,8,0,53,0,9,0,4,0,8,0,1,0,39,0,17,0,9,0,5,0,0,0,0,0,15,0,6,0,1,0,4,0,7,0,0,0,44,0,22,0,7,0,0,0,7,0,0,0,6,0,0,0,11,0,5,0,12,0,6,0,13,0,1,0,18,0,6,0,5,0,0,0,24,0,9,0,23,0,0,0,8,0,2,0,13,0,0,0,59,0,37,0,3,0,21,0
contig_18631_17,172,4,0,60,0,0,0,13,0,3,0,5,0,17,0,36,0,4,0,10,0,0,0,0,0,5,0,16,0,1,0,4,0,4,0,1,2,22,0,44,0,0,0,6,0,0,0,8,0,3,0,4,0,1,0,14,0,7,0,10,1,3,0,11,0,2,0,21,0,5,0,0,0,11,0,20,0,2,0,21,1,5,0,4,0,6,0,7,0,33,0,62,0,5,0,21,0
contig_18631_17,175,0,61,0,3,0,13,0,0,0,8,0,0,0,53,0,0,0,14,0,0,0,0,0,0,0,21,0,0,0,5,0,0,0,7,0,0,0,69,0,1,0,6,0,0,0,8,0,0,0,7,0,0,0,14,0,4,0,18,0,0,0,12,0,2,1,22,0,0,0,5,0,0,0,31,0,0,3,9,0,13,0,10,0,0,0,13,0,0,0,98,0,0,0,26,0,0
contig_18631_17,181,54,0,9,0,9,0,1,0,2,0,8,0,10,0,44,0,5,0,10,0,1,0,0,0,9,0,11,0,3,0,2,0,0,0,8,0,16,0,54,0,0,0,5,0,3,0,5,0,2,0,5,0,11,0,8,0,3,0,17,0,5,0,10,0,6,0,19,0,0,0,6,0,3,0,29,0,19,0,8,1,2,0,8,0,0,0,14,0,23,0,78,0,19,0,8,0
contig_18631_17,184,0,0,0,63,0,0,0,12,0,0,0,8,0,0,0,54,0,0,0,15,0,0,0,1,0,0,0,19,0,0,0,5,0,1,0,7,0,0,0,69,0,0,0,5,0,1,0,7,0,0,0,5,0,2,0,17,0,0,0,20,0,1,0,14,0,0,0,24,0,3,0,3,0,0,0,33,0,2,0,27,0,5,0,5,0,2,0,6,0,0,0,102,0,0,0,27
contig_18631_17,193,0,0,0,61,0,0,0,13,0,0,0,8,0,0,0,57,0,0,0,17,0,0,0,1,0,0,0,18,0,0,0,4,0,1,0,7,0,0,0,73,0,0,0,1,0,0,0,7,0,0,0,5,0,1,0,18,0,0,0,21,0,1,0,12,0,0,0,23,0,3,0,5,0,0,0,29,0,1,0,26,0,1,0,10,0,2,0,6,0,0,0,104,0,0,0,28
contig_18631_17,196,0,0,0,62,0,1,0,12,0,0,0,8,0,0,0,59,0,0,0,16,0,0,0,1,0,0,0,18,0,1,0,3,0,0,0,8,0,2,0,70,0,0,0,1,0,0,0,7,0,1,0,4,0,0,0,19,0,0,0,21,0,0,0,13,0,0,0,23,0,0,0,8,0,0,0,30,0,1,0,26,0,0,0,11,0,0,0,8,0,0,0,105,0,1,0,26
contig_18631_17,205,1,0,58,0,0,0,13,0,0,0,7,0,0,0,62,0,0,0,15,0,0,0,1,0,0,0,18,0,0,0,4,0,0,0,6,0,0,0,72,1,0,0,1,0,0,0,7,0,0,0,5,0,1,0,16,0,0,0,21,0,1,0,11,0,0,0,23,0,0,0,8,0,0,0,29,0,2,0,22,1,0,0,11,0,0,0,8,0,0,0,103,0,0,0,27,0
contig_18631_17,206,0,0,48,11,0,0,7,6,0,0,3,4,0,0,1,61,0,0,4,11,0,0,0,1,0,0,7,11,0,0,3,1,0,0,2,4,0,0,3,71,0,0,0,1,0,0,3,4,0,0,0,5,0,0,2,15,0,0,3,18,0,0,2,10,0,0,3,18,0,0,1,7,0,0,0,29,0,0,1,23,0,0,2,9,0,0,1,7,1,0,11,91,0,0,20,7
contig_18631_17,208,5,0,54,0,6,0,7,0,2,0,5,0,12,0,49,0,7,0,8,0,1,0,0,0,4,0,14,0,0,0,3,0,2,0,4,0,20,0,52,0,0,0,1,0,5,0,2,0,2,0,3,0,5,0,11,0,7,0,14,0,3,0,9,0,6,0,14,0,0,0,6,0,3,0,26,0,6,0,20,0,1,0,16,0,1,0,7,0,37,0,66,0,0,0,27,0
contig_18631_17,211,0,0,58,0,0,0,13,0,2,0,3,2,0,0,62,0,1,0,15,0,0,0,1,0,2,0,15,0,0,0,2,1,4,0,2,0,0,0,74,0,0,0,3,0,0,0,7,0,3,0,2,0,2,0,8,0,2,0,20,0,2,0,7,0,1,0,19,0,5,0,1,0,0,0,29,0,0,0,10,0,5,0,12,0,6,0,2,0,0,0,101,0,0,0,28,0
contig_18631_17,226,0,1,0,54,0,3,0,9,0,0,0,7,0,0,0,63,0,0,0,16,0,0,0,1,0,0,0,18,0,0,0,3,0,0,0,6,0,0,0,70,0,0,0,3,0,0,0,7,0,0,0,7,0,0,0,10,0,0,0,23,0,0,0,9,0,1,0,18,0,0,0,6,0,0,0,28,0,0,0,9,0,0,0,11,0,0,0,7,0,0,0,98,0,4,0,24
contig_18631_17,229,0,0,56,0,0,0,12,0,0,0,4,2,0,0,64,0,0,0,15,1,0,0,1,0,0,0,16,2,0,0,3,0,0,0,3,3,0,0,71,0,0,0,3,0,0,0,7,0,0,0,4,3,0,0,10,0,0,0,21,2,0,0,9,1,0,0,18,0,0,0,4,2,0,0,28,0,0,0,7,0,0,0,7,4,0,0,5,2,0,0,96,0,0,0,28,0
contig_18631_17,234,43,0,12,0,7,0,4,0,2,0,2,0,0,0,59,0,3,0,14,0,0,0,1,0,6,0,11,0,3,0,0,0,3,0,2,0,0,0,71,0,0,0,1,0,0,0,7,0,3,0,4,0,1,0,8,0,2,0,23,0,1,0,9,0,1,0,18,0,4,0,2,0,0,0,34,0,0,0,6,0,5,0,6,0,3,0,4,0,1,0,96,0,20,0,9,0
contig_18631_17,247,55,0,0,0,11,0,0,0,4,0,0,0,57,0,0,0,16,1,0,0,1,0,0,0,13,1,0,0,3,0,0,0,3,2,0,0,74,0,0,0,1,0,0,0,5,0,0,0,2,0,1,0,8,1,0,0,25,0,0,0,6,2,0,0,20,0,0,0,1,3,0,0,29,0,0,0,7,0,0,0,7,4,0,0,3,5,0,0,97,0,0,0,25,0,0,0
contig_18631_17,250,7,0,60,0,5,0,10,0,2,0,4,0,11,0,46,0,5,0,12,0,1,0,0,0,9,0,17,0,3,0,2,0,2,0,12,0,15,0,59,0,0,0,5,0,2,0,5,0,2,0,7,0,4,0,4,0,8,0,27,0,2,0,8,0,2,0,17,0,3,0,1,0,4,0,37,0,3,0,5,0,5,0,6,0,5,0,3,0,29,0,69,0,0,0,34,0
contig_18631_17,253,1,68,0,0,0,16,0,0,0,9,0,0,0,59,0,0,0,15,0,0,0,1,0,0,0,25,1,0,0,6,0,0,0,12,2,0,0,73,0,0,0,5,0,0,0,7,0,0,0,9,0,0,0,8,1,0,0,36,0,0,0,8,2,0,0,19,0,0,0,1,3,0,0,41,0,0,0,8,0,0,0,7,4,0,0,3,5,0,0,98,0,0,0,34,0,0
contig_18631_17,266,65,0,0,0,17,0,0,0,11,0,0,0,58,0,0,1,18,0,0,0,13,0,0,0,26,0,0,0,5,0,0,0,14,0,0,0,72,0,0,0,5,0,0,0,9,0,0,0,10,0,0,0,10,0,0,0,34,0,0,1,10,0,0,0,16,0,0,1,4,0,0,0,42,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,94,0,0,3,32,0,0,0
contig_18631_17,271,0,0,54,0,0,0,14,0,0,0,9,0,0,0,58,0,0,0,16,0,0,0,13,0,0,0,17,0,0,0,5,0,0,0,5,0,0,0,71,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,10,0,6,0,26,0,0,0,7,0,0,0,15,0,0,0,1,0,0,0,32,0,0,0,6,0,1,0,4,0,0,0,3,0,0,0,94,0,0,0,24,0
contig_18631_18,16,0,31,0,9,0,8,0,3,0,0,0,8,0,0,0,59,0,0,0,14,0,0,0,15,0,2,0,11,0,4,0,0,0,0,0,8,0,0,0,73,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,7,0,0,0,30,0,0,0,8,0,1,0,13,0,0,0,1,0,0,0,41,0,0,0,6,0,0,0,3,0,0,0,3,0,2,0,93,0,11,0,10
contig_18631_18,19,9,0,32,0,4,0,8,0,9,0,0,0,60,0,0,0,14,0,0,0,15,0,0,0,11,0,2,0,0,0,5,0,8,0,0,0,73,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,7,0,0,0,30,0,0,0,8,0,0,0,13,0,1,0,1,0,0,0,41,0,0,0,6,0,0,0,3,0,0,0,3,0,0,0,91,0,1,0,10,0,11,0
contig_18631_18,31,0,8,1,30,0,5,0,11,0,9,0,1,0,62,0,0,0,12,0,0,0,14,0,0,0,10,0,2,0,1,0,5,0,8,0,0,0,71,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,7,0,0,0,31,0,0,0,9,0,1,0,16,0,2,0,1,0,0,0,43,0,0,0,5,0,0,0,3,0,0,0,2,0,0,0,89,0,1,0,11,0,10
contig_18631_18,34,0,28,7,0,0,11,5,0,0,1,9,0,0,0,62,0,0,0,13,0,0,0,14,0,0,2,11,0,0,5,1,0,0,0,8,0,0,1,70,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,6,0,0,0,33,0,0,1,9,0,0,2,16,0,0,0,1,0,0,0,43,0,0,0,6,0,0,0,4,0,0,0,2,0,0,1,89,0,0,9,10,0
contig_18631_18,37,7,0,28,0,0,0,16,0,8,0,2,0,47,1,13,0,9,0,4,0,2,0,13,0,7,0,6,0,1,0,6,0,6,0,2,0,49,0,19,0,0,0,0,0,4,0,4,0,4,0,0,0,5,0,1,0,18,0,15,0,8,0,2,0,14,0,4,0,1,0,0,0,37,0,6,0,3,0,3,0,4,0,0,0,2,0,0,0,64,0,26,0,12,0,9,0
